url,napoletano,italiano
https://www.napoligrafia.it/musica/testi/videNapule.htm,Ma 'int'ô tramonto 'nterra Pusilleco,Ma al tramonto giù a Posillipo
https://www.napoligrafia.it/musica/testi/maistrale.htm,so' scese stasera,sono scese stasera
https://www.napoligrafia.it/musica/testi/oMarenariello.htm,"bbraccelle, ajutame a tirà, ca 'stu marenariello","aiutami a tirare, che questo marinaretto. ti vuol sempre abbracciare"
https://www.napoligrafia.it/musica/testi/nuQuartoLuna.htm,e no pecché t'aggio perduto,e non perchè ti ho perso
https://www.napoligrafia.it/musica/testi/caravanPetrol.htm,Cu 'o fiasco 'mmano e cu 'o,Con il fiasco in mano e col
https://www.napoligrafia.it/musica/testi/canzonaMarenaresca.htm,"Nénna, vucanno, a fianco a me cantava","Il mio amore, remando, accanto a me cantava"
https://www.napoligrafia.it/musica/testi/mmiezGgrano.htm,E 'sti capille tuoje so' tale e quale,E questi tuoi capelli sono tali e quali
https://www.napoligrafia.it/musica/testi/cientoStrade.htm,Ciento strade,Cento strade
https://www.napoligrafia.it/musica/testi/oVascio.htm,"'nnanze a 'stu vascio2 da 'a matina â sera: ""Ma chisto"" dice ""ha perzo 'e ccerevelle? Ma comme? S'è cecato 'e 'sta manera?""","davanti a questo vascio2 dalla mattina alla sera. dice: ""Ma questo ha perso il cervello? Ma come? E' cieco in questo modo?"""
https://www.napoligrafia.it/musica/testi/pusilleco.htm,sott'a ll'argiento 'e chesta luna chiara,sotto l'argento di questa luna chiara
https://www.napoligrafia.it/musica/testi/segretamente.htm,Aspetto ll'ore sane,Aspetto ore intere
https://www.napoligrafia.it/musica/testi/oGuappoNnammurato.htm,"Però, chi mme ce manna 'n'ata vota, se fa 'nteresse sempe 'nu tavuto","Però, chi mi ci manda un'altra volta, si guadagnerà sempre una bara"
https://www.napoligrafia.it/musica/testi/loCardillo.htm,"dormenno, pe 'na fata, gué, non la pigliá","dormendo, per una fata, neh, non la scambiare"
https://www.napoligrafia.it/musica/testi/mbracciaMe.htm,'e lassá,a lasciare
https://www.napoligrafia.it/musica/testi/canzonaMarinaresca.htm,"'O mare, no, nun ll'aggi' 'a smaledì","Il mare, no, non lo devo maledire"
https://www.napoligrafia.it/musica/testi/canzoneAllAntica.htm,Te voglio bene,Ti voglio bene
https://www.napoligrafia.it/musica/testi/lunaCaprese.htm,"Vuje ca suffrite 'e ppene de ll'ammore, Capre, ve po' 'ncantá cu 'na parola","Voi che soffrite le pene dell'amore, Capri, vi può incantare con una parola"
https://www.napoligrafia.it/musica/testi/ePpentite.htm,E i' canto. Che te cride? I' chiagno e canto,E io canto. Cosa credi? Io. piango e canto
https://www.napoligrafia.it/musica/testi/niniTirabuscio.htm,e cu 'e llire e cu 'e brillante,e con soldi e con brillanti
https://www.napoligrafia.it/musica/testi/eraDeMaggio.htm,quanno tornano li rrose,quando tornano le rose
https://www.napoligrafia.it/musica/testi/cinematografo.htm,"ca ride si vo' chiagnere""","che ride se vuole piangere"""
https://www.napoligrafia.it/musica/testi/malatia.htm,"Che gioja, che pene","Che gioia, che pene"
https://www.napoligrafia.it/musica/testi/putesseEssereAllero.htm,E m'ha rimasto 'ncuollo,E mi ha lasciato addosso
https://www.napoligrafia.it/musica/testi/aBanderellaCarta.htm,e po 'na banderella,e poi una bandierina
https://www.napoligrafia.it/musica/testi/anemaNera.htm,"Mm'aggio truvato 'n'ata 'nnammurata, chella ca overamente fa pe me","Ho trovato un'altra fidanzata, quella che veramente fa per me"
https://www.napoligrafia.it/musica/testi/quannoNascetteNinno.htm,"""Gloria a Dio, pace 'nterra","""Gloria a Dio, pace in terra"
https://www.napoligrafia.it/musica/testi/teofiloPennacchio.htm,Il motivo che mi ha indotto,Il motivo che mi ha indotto
https://www.napoligrafia.it/musica/testi/passaBandiera.htm,e 'o rre,e il re
https://www.napoligrafia.it/musica/testi/oPrimmoAmmore.htm,e d' 'e filune 'e scola,e di quando si marinava la scuola
https://www.napoligrafia.it/musica/testi/commeAnaFronna.htm,"stampata 'na parola: ""Maria"", che nnomme d'oro","stampata una parola: ""Maria"", che nome d'oro"
https://www.napoligrafia.it/musica/testi/napulioneEnapule.htm,'a marcia è chesta cca,la marcia è questa qua
https://www.napoligrafia.it/musica/testi/iTeVurriaVasa.htm,O pure suonne a 'n'ato? I' te vurría vasá,Oppure sogni un altro? Io vorrei baciarti
https://www.napoligrafia.it/musica/testi/oMunasterio.htm,"va', jatevenne cu Giesù e Maria","va, andatevene con Gesù e Maria"
https://www.napoligrafia.it/musica/testi/aLunaMare.htm,"Oje mare, mare, a Napule so' tutte 'nnammurate, 'e ffemmene so' troppo appassiunate","O mare, mare, a Napoli sono tutti innamorati, le donne sono troppo passionali"
https://www.napoligrafia.it/musica/testi/coreSpezzato.htm,ll'ùrdemo saluto,l'ultimo saluto
https://www.napoligrafia.it/musica/testi/cinematografo.htm,"""Nun ce vení ca è meglio assaje""","""Non ci venire che è molto meglio"""
https://www.napoligrafia.it/musica/testi/tornaMaggio.htm,Torna maggio,Torna maggio
https://www.napoligrafia.it/musica/testi/abbracciatoColCuscino.htm,col cuscino con me abbracciato,col cuscino con me abbracciato
https://www.napoligrafia.it/musica/testi/mioCarissimoPasquale.htm,"""Mio carissimo Pasquale, virgola e poi da capo, t'hann' 'a spará, pe scagno, sott'a 'n'albero 'e cutogne","""Mio carissimo Pasquale, Virgola e poi a capo, ti devono sparare, per sbaglio, sotto a un albero di cotogne"
https://www.napoligrafia.it/musica/testi/oCcafe.htm,"ca pe tutt' 'a jurnata, 'na tazza po 'n'ata, s'accatta, se scarfa","per tutta la giornata, un tazza dietro l'altra, si compra, si riscalda"
https://www.napoligrafia.it/musica/testi/ndifferenza.htm,Io mme so' fatto,Sono diventato
https://www.napoligrafia.it/musica/testi/oPizzajuoloNuovo.htm,"So' caruófane 'sti ppizze, P'otto solde sulamente",quanto è certa la libertà. Per otto soldi soltanto
